Le nom commercial ;Quantité en stock;Prix Public;Date derniére sortie;Listes;Classes;Formes
Mucidar Ad sp Fl/300;0;0;;SANS TABLEAU;Antitussif Expectorant;Sirops
MucidarEnf sp Fl/125ml;0;0;;SANS TABLEAU;Antitussif Expectorant;Sirops
Mucocil sp Enf Fl/125ml;2;1?110;09/07/2023;SANS TABLEAU;Antitussif Expectorant;Sirops
Mucosol Ad sp Fl/200ml;0;1?924;17/06/2023;SANS TABLEAU;Antitussif Expectorant;Sirops
Mucosol Enf  sp Fl/200ml;1;1?406;26/01/2023;SANS TABLEAU;Antitussif Expectorant;Sirops
Mucotreis sp Ad Fl/150ml ;0;0;;SANS TABLEAU;Antitussif Expectorant;Sirops
Mucotreis sp Enf Fl/150ml;0;0;;SANS TABLEAU;Antitussif Expectorant;Sirops
Nivea farine lait eclair f/250ml;0;0;02/03/2019;SANS TABLEAU;Antitussif Expectorant;Sirops
Oxiceb 100mg gel b/20;-1;4?346;26/07/2023;LISTE I;Antitussif Expectorant;Comprimes Gelules
Passedyl sp Enf/N Fl/125ml ;3;1?774;12/09/2023;SANS TABLEAU;Antitussif Expectorant;Sirops
Rhinathiol  expectorant sp Ad FL/125ml;0;1?952;06/04/2023;SANS TABLEAU;Antitussif Expectorant;Sirops
Rhinathiol promethazinet sp enf FL/125ml;4;1?127;30/08/2023;SANS TABLEAU;Antitussif Expectorant;Sirops
Rhinathiol  sp Ad 5% FL/300ml ;2;3?405;18/09/2023;SANS TABLEAU;Antitussif Expectorant;Sirops
Rhinathiol  sp enf 2% FL/125ml;1;1?834;11/04/2023;SANS TABLEAU;Antitussif Expectorant;Sirops
Spamo apotel suppo;1;1?901;01/09/2023;LISTE I;Antitussif Expectorant;Suppositoires
Trabar injectable;1;4?153;16/09/2023;LISTE I;Antitussif Expectorant;Injectables
Bactopoumon sp Fl/150ml;0;40;;Liste I;Antitussif Antiinfectieux;Sirops
Bactox 125mg sp Fl/60ml;0;1?229;07/02/2023;LISTE I;Antitussif Antiinfectieux;Sirops
Bactox 1g  inj B/1;0;40;;Liste I;Antitussif Antiinfectieux;Injectables
Bactox 250mg sp Fl/60ml;0;1?641;20/05/2023;LISTE I;Antitussif Antiinfectieux;Sirops
Bronquidiazina sp FL/150ml;7;2?777;20/09/2023;LISTE I;Antitussif Antiinfectieux;Sirops
Teyssedre sp Fl/100ml;0;0;;SANS TABLEAU;Antitussif Antihistaminique Sedatif;Sirops
Theralene sp Fl/150ml;-11;926;22/09/2023;SANS TABLEAU;Antitussif Antihistaminique Sedatif;Sirops
Terpine codine plaq/10 cp;0;30;;Liste II;Antitussif                                        ;Comprimes Gelules
Amlozaar 5mg/50mg cp b/30;1;14?763;14/08/2023;SANS TABLEAU;Antitussif;Suppositoires
Calmixene sp FL/ 150ml;0;2?012;31/12/2019;Liste II;Antitussif;Sirops
Coquelusedal NRS suppo B/12 ;4;1?030;20/09/2023;SANS TABLEAU;Antitussif;Suppositoires
Eucalyptine sp F/200ml;0;0;;SANS TABLEAU;Antitussif;Sirops
Euphon sp Ad F/150ml;1;3?515;06/08/2023;SANS TABLEAU;Antitussif;Sirops
Helicidine sp Fl/125ml;9;1?740;19/09/2023;SANS TABLEAU;Antitussif;Sirops
Neocodion cp B/20;2;1?406;17/09/2023;SANS TABLEAU;Antitussif;Comprimes Gelules
Neocodion sp Ad F/180ml;1;1?869;12/08/2023;SANS TABLEAU;Antitussif;Sirops
Neocodion sp Enf F/125ml;0;1?406;17/01/2022;SANS TABLEAU;Antitussif;Sirops
Ozothine e la diprophylline cp B/50;0;0;;SANS TABLEAU;Antitussif;Comprimes Gelules
Ozothine suppo Enf B/10;0;0;;SANS TABLEAU;Antitussif;Suppositoires
Paidoterin sp Fl/100ml;7;2?351;20/09/2023;LISTE I;Antitussif;Sirops
Paxeladine sp Fl/125ml;0;0;;SANS TABLEAU;Antitussif;Sirops
Sekisan sp FL/120ml;4;2?628;20/09/2023;LISTE II;Antitussif;Sirops
Silomat 0,4% sp FL/125ml;0;30;;Liste II;Antitussif;Sirops
Terpine codeine cp B/20;0;765;24/02/2020;LISTE II;Antitussif;Comprimes Gelules
Terpine gonnon sp Fl/200ml;0;0;;SANS TABLEAU;Antitussif;Sirops
Terpone sp Ad Fl/180ml;5;1?577;21/09/2023;SANS TABLEAU;Antitussif;Sirops
Terpone sp Enf Fl/180ml;2;1?542;07/07/2023;SANS TABLEAU;Antitussif;Sirops
Toplexil sp Fl/150ml;0;0;13/01/2023;SANS TABLEAU;Antitussif;Sirops
Travasil Pastilles citron B/16;0;0;;SANS TABLEAU;Antitussif;Pastilles
Travasil Pastilles menthe B/16;0;0;;SANS TABLEAU;Antitussif;Pastilles
Travasil Pastilles mil B/16;0;0;;SANS TABLEAU;Antitussif;Pastilles
Travasil Pastilles orange B/16;0;0;;SANS TABLEAU;Antitussif;Pastilles
Trophires compose suppo Enf  B/8;0;901;18/11/2020;SANS TABLEAU;Antitussif;Suppositoires
Trophires compose suppo  SRS B/8;0;0;;SANS TABLEAU;Antitussif;Suppositoires
Trophires suppo NRS B/8;0;0;;SANS TABLEAU;Antitussif;Suppositoires
Tussiphan sp FL/125ml;10;1?153;22/09/2023;LISTE II;Antitussif;Sirops
Silomat 6% gtte FL/20ml;0;30;;Liste II;Antituddif;Gouttes buvables
Myambutol 400mg cp B/50;0;40;;Liste I;Antituberculeux;Comprimes Gelules
Neomercazole 20mg cp B/30;0;0;;SANS TABLEAU;Antithyroidien;Comprimes Gelules
Neomercazole 5mg cp B/50;0;0;;SANS TABLEAU;Antithyroidien;Comprimes Gelules
Lorinol 10mg cp B/10;2;1?537;05/09/2023;LISTE II;Antithrombique;Injectables
Lovenox 0,2 inj B/2;0;40;02/09/2022;LISTE I;Antithrombique;Injectables
Lovenox 0,4 inj B/2;2;7?788;25/05/2023;LISTE I;Antithrombique;Injectables
Lovenox 0,6 inj B/2;4;10?995;17/04/2023;LISTE I;Antithrombique;Injectables
Lovenox 0,8 inj B/2;0;12?560;21/03/2023;Liste I;Antithrombique;Injectables
Pulmodexane sp FL/150ml;0;0;24/11/2019;SANS TABLEAU;Antissuf toux seche;Sirops
Pulmobally sp FL/125ml;0;0;;SANS TABLEAU;Antissuf;Sirops
Meteospasmyl cp B/20 sans sucre;5;2?757;22/09/2023;SANS TABLEAU;Antispasmodique Antiflatulant;Comprimes Gelules
Spasmodex cp B/30;0;30;;Liste II;Antispasmodique Anticholinergique;Comprimes Gelules
Spasmodex suppo B/6;0;30;15/08/2018;LISTE II;Antispasmodique Anticholinergique;Suppositoires
Buscopan inj IM IV SC amp B/6;0;40;;Liste I;Antispasmodique;Injectables
Buscupan suppo B/6;0;40;;Liste I;Antispasmodique;Suppositoires
Buto asma 2mg cp B/40;2;2?205;05/09/2023;LISTE I;Antispasmodique;Comprimes Gelules
Colobutine 100mg cp B/20;0;30;;LISTE II;Antispasmodique;Comprimes Gelules
Colopriv GE 100mg cp B/30;0;30;;Liste II;Antispasmodique;Comprimes Gelules
Debridat 100mg cp B/30;7;4?862;19/09/2023;LISTE II;Antispasmodique;Comprimes Gelules
Debridat 100mg suppo B/10;0;30;;Liste II;Antispasmodique;Suppositoires
Debridat sp A Fl/250ml;3;2?764;19/07/2023;LISTE II;Antispasmodique;Sirops
Debridat suppo B/10;0;30;;Liste II;Antispasmodique;Suppositoires
Dicetel 100mg cp B/30;3;6?916;17/09/2023;LISTE II;Antispasmodique;Comprimes Gelules
Dicetel 50mg cp B/20;0;3?103;05/10/2019;LISTE II;Antispasmodique;Comprimes Gelules
Diclin 75 inj B/3 amp de 3ml;0;30;;Liste II;Antispasmodique;Injectables
Duspatalin 100mg cp B/30;2;3?602;19/09/2023;LISTE II;Antispasmodique;Comprimes Gelules
Duspatalin 200mg cp B/30;3;3?730;19/07/2023;Liste II;Antispasmodique;Comprimes Gelules
Kinafon cp B/20;5;1?747;19/09/2023;SANS TABLEAU;Antispasmodique;Comprimes Gelules
Mebeverine forte cp B/30;3;3?346;02/09/2023;LISTE II;Antispasmodique;Comprimes Gelules
No-Spa 40mg cp B/20;10;1?597;22/09/2023;LISTE II;Antispasmodique;Comprimes Gelules
No-Spa 40mg inj 2ml B/5;7;1?305;03/09/2023;Liste II;Antispasmodique;Injectables
No-Spa forte B/20 cp;33;3?232;21/09/2023;LISTE II;Antispasmodique;Comprimes Gelules
No-Spa plaq/10 cp;0;493;31/03/2021;Liste II;Antispasmodique;Comprimes Gelules
Spasfon amp inj 4ml B/6;7;2?681;09/09/2023;SANS TABLEAU;Antispasmodique;Injectables
Spasfon cp B/30;150;2?021;21/09/2023;SANS TABLEAU;Antispasmodique;Comprimes Gelules
Spasfon Lyoc 80mg B/10 sans sucre ;18;2?352;22/09/2023;SANS TABLEAU;Antispasmodique;Lyophilisants oraux
Spasfon suppo B/10;0;2?016;05/09/2022;SANS TABLEAU;Antispasmodique;Suppositoires
Tevabutine 100mg cp B/30;0;30;;Liste II;Antispasmodique;Comprimes Gelules
Trimebutine arrow cp 100mg;0;30;;Liste II;Antispasmodique;Comprimes Gelules
Visceralgine 20mg suppo B/20;41;1?566;22/09/2023;LISTE II;Antispasmodique;Suppositoires
Visceralgine 50 mg cp B/30;2;30;04/09/2023;LISTE II;Antispasmodique;Comprimes Gelules
Visceralgine 5mg/2ml inj B/10;0;30;05/01/2019;Liste II;Antispasmodique;Injectables
Visceralgine sp FL/150ml ;29;1?549;20/09/2023;SANS TABLEAU;Antispasmodique;Sirops
Argyrol 1% collyre;0;0;;SANS TABLEAU;Antiseptique oculaire;Collyres
Bactyl collyre;2;954;11/09/2023;SANS TABLEAU;Antiseptique oculaire;Collyres
Collyre bleue laiter faible cy;28;1?579;20/09/2023;LISTE II;Antiseptique oculaire;Collyres
Dacryoserum sol oculaire unidose/20;35;2?892;22/09/2023;SANS TABLEAU;Antiseptique oculaire;Collyres
Sedacollyre cy FL/10ml;0;0;;SANS TABLEAU;Antiseptique oculaire;Collyres
Sophtal cy FL/10ml;2;911;21/08/2023;SANS TABLEAU;Antiseptique oculaire;Collyres
Sophtal cy FL/10ml;0;0;13/06/2023;SANS TABLEAU;Antiseptique oculaire;Collyres
Vegebom bebe;0;3?918;25/02/2022;SANS TABLEAU;Antiseptique oculaire;Collyres
Visiodis cy FL/10ml;0;803;03/04/2023;Liste I;Antiseptique oculaire;Collyres
Vitabact cy FL/10ml;2;1?126;22/09/2023;SANS TABLEAU;Antiseptique oculaire;Collyres
Dogmatil 100mg/2ml inj B/6 amp;0;3?220;31/08/2020;Liste I;Antiseptique Neuroleptique;Injectables
Dogmatil 50mg cp B/30 ;0;3?181;10/11/2021;LISTE I;Antiseptique Neuroleptique;Comprimes Gelules
Osmogel gtte aur;0;0;;SANS TABLEAU;Antiseptique local Vasoconstricteur;Gouttes auriculaires
Alodont BB;0;0;;SANS TABLEAU;Antiseptique externe;Bains de bouche
Asept apaisyl sol Fl/100ml;0;0;;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Betadine gyneco+necessaire Fl/125ml;0;2?972;14/12/2022;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Betadine jaune sol dermique Fl/125ml;40;1?379;20/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Betadine ovule B/8;0;1?417;15/08/2022;SANS TABLEAU;Antiseptique externe;Ovules comprimes gynecologiques
Betadine pde T/30g;1;877;19/07/2022;SANS TABLEAU;Antiseptique externe;Pommades cremes
Betadine rouge scrub Fl/125ml;27;1?283;21/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Betadine rouge scrub Fl/500ml;1;4?708;28/08/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Betadine vert BB Fl/125ml;0;1?252;18/09/2023;SANS TABLEAU;Antiseptique externe;Bains de bouche
Biomousse lotion mouss derm FL/200ml;0;0;;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Cetavlon creme T/80g;0;1?019;21/07/2020;SANS TABLEAU;Antiseptique externe;Pommades cremes
Colluhextril colutoire;0;2?109;03/02/2021;SANS TABLEAU;Antiseptique externe;Collutoire pressurise
Collunovar atomiseur Fl/40mg;0;2?222;15/09/2020;SANS TABLEAU;Antiseptique externe;Collutoire pressurise
Collunovar BB F/150ml;0;2?109;22/08/2018;SANS TABLEAU;Antiseptique externe;Bains de bouche
Collunovar Fl/25ml;0;0;;SANS TABLEAU;Antiseptique externe;Collutoire
Cutisan pdre Fl/80g;0;0;09/11/2021;SANS TABLEAU;Antiseptique externe;Poudres externes
Cyteal sol mouss Fl/250ml;51;2?013;21/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Cyteal sol mouss Fl/500ml;18;3?700;21/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Dermacide sol Fl/250ml ;0;1?708;23/01/2020;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Dermobacter sol mouss derm Fl/300ml;0;2?907;09/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Eau oxygene gilbert 10 volumes Fl/120ml;-1;1?242;22/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Eau oxygene gilbert 10 volumes Fl/250ml;4;2?499;11/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Eau oxygene gilbert 20 volumes Fl/125ml;0;2?812;04/05/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Eros ;0;0;08/01/2019;SANS TABLEAU;Antiseptique externe;Comprimes Gelules
Givalex BB F/125ml;0;0;;SANS TABLEAU;Antiseptique externe;Bains de bouche
Gliclazide arrow 80mg cp B/20;0;40;;Liste I;Antiseptique externe;Comprimes Gelules
Gliclazide arrow 80mg cp B/60;0;40;;Liste I;Antiseptique externe;Comprimes Gelules
Gliclazide Ggam 80mg cp B/20;0;40;;Liste I;Antiseptique externe;Comprimes Gelules
Gliclazide Ggam 80mg cp B/60;0;40;;Liste I;Antiseptique externe;Comprimes Gelules
Glidiabet B/30 cp;0;40;18/01/2019;LISTE I;Antiseptique externe;Comprimes Gelules
Glucidoral cp B/30;0;40;;Liste I;Antiseptique externe;Comprimes Gelules
Hexomedine sol Fl/250ml;0;2?487;25/08/2022;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Hextril BB Fl/200ml;0;2?109;03/07/2020;SANS TABLEAU;Antiseptique externe;Bains de bouche
Le petit olivier pate d'argile verte ;0;0;05/07/2020;SANS TABLEAU;Antiseptique externe;Pommades cremes
Nebilus cp ;0;8?024;09/05/2023;LISTE I;Antiseptique externe;Comprimes Gelules
Neoxene ovule B/10;0;0;;SANS TABLEAU;Antiseptique externe;Ovules comprimes gynecologiques
Permaganate de potassium Lafran 500mg cp;3;1?789;09/08/2023;Liste I;Antiseptique externe;Comprimes Gelules
Permaganate de potassium sachet de 0,25g;0;0;;SANS TABLEAU;Antiseptique externe;Sachets Granules poudres orales
Prexidine BB FL/200ml;0;0;;SANS TABLEAU;Antiseptique externe;Bains de bouche
Pyralvex sol FL/10ml;1;1?406;21/06/2023;SANS TABLEAU;Antiseptique externe;Bains de bouche
Sanoformine cp gyneco B/50;0;0;;SANS TABLEAU;Antiseptique externe;Ovules comprimes gynecologiques
Septivon sol ext FL/500ml;0;3?069;09/07/2019;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Septivon sol FL/250ml;0;1?424;31/05/2017;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Synthodon BB F/200ml;0;0;;SANS TABLEAU;Antiseptique externe;Bains de bouche
Till sol mouss Fl/200ml;43;1?677;22/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions
Triclosan prdre FL/80g;0;0;08/02/2020;SANS TABLEAU;Antiseptique externe;Poudres externes
Wokadine ovule B/14;0;0;;SANS TABLEAU;Antiseptique externe;Ovules comprimes gynecologiques
Vegebom secours Gm;0;2?727;06/09/2023;SANS TABLEAU;Antiseptique Estrogenique;Pommades cremes
Dacryne cy unidose;0;0;27/12/2018;SANS TABLEAU;Antiseptique Decongetif;Collyres
Hydroclonazone cp B/180 sans sucre;0;0;25/11/2019;SANS TABLEAU;Antiseptique de leeau de boisson;Comprimes Gelules
Dermacide pain B/1;0;2?326;15/10/2019;SANS TABLEAU;Antiseptique cutane;Pains
Nobacter pain 100g;1;5?165;29/03/2023;SANS TABLEAU;Antiseptique cutane;Pains
Uriage Cu- Zn creme T/40ml;0;7?796;31/05/2022;SANS TABLEAU;Antiseptique apaisant;Pommades cremes
Daktarin 2% gel buccal T/40g;5;3?838;09/09/2023;SANS TABLEAU;Antiseptique Antifongique;Gel buccal 
Anginovag 10 ml are sol;14;2?889;19/09/2023;SANS TABLEAU;Antiseptique Antalgique;Collutoire pressurise
Angisparay spray FI/40ml;0;0;;SANS TABLEAU;Antiseptique Antalgique;Spray aerosol
Buccothymol BB FL/150ml;75;1?092;22/09/2023;SANS TABLEAU;Antiseptique Antalgique;Bains de bouche
Buscopan drag B/40;0;40;;Liste I;Antiseptique Antalgique;Comprimes Gelules
Colluxid BB F/120ml;2;1?060;26/05/2023;Liste II;Antiseptique Antalgique;Bains de bouche
Eludril collutoire;0;1?664;29/11/2021;SANS TABLEAU;Antiseptique Antalgique;Collutoire pressurise
Exaspray collutoire;0;2?213;27/02/2021;SANS TABLEAU;Antiseptique Antalgique;Collutoire pressurise
Biodermine pde T/42g;0;0;;SANS TABLEAU;Antiseborrheique;Pommades cremes
Biodroxil 1000 mg cp B/12;0;9?029;20/01/2021;LISTE I;Antiseborrheique;Comprimes Gelules
Biodroxil 500mg cp B/12;0;4?961;30/08/2021;LISTE I;Antiseborrheique;Comprimes Gelules
Savon au soufre Laino 150g;0;0;13/05/2019;SANS TABLEAU;Antiseborrheique;Pains
A-Par spray sol Fl/200ml;0;0;02/02/2017;SANS TABLEAU;Antiscabieux;Spray solutions externes
Ascabiol lotion Fl/125 ml;3;2?024;21/09/2023;SANS TABLEAU;Antiscabieux;Solutions externes lotions
Benzoate de benzyle Fl/125ml;0;0;;SANS TABLEAU;Antiscabieux;Solutions externes lotions
Manix gel massage gourmand fraise fl 200ml;0;6?455;28/04/2018;SANS TABLEAU;Antiscabieux;Gel lubrufiant
Para plus aer Fl/125ml;0;0;;SANS TABLEAU;Antiscabieux;Spray aerosol
Para special poux et lentes aer Fl/125ml;0;0;;SANS TABLEAU;Antiscabieux;Spray aerosol
Para special poux shp Fl/125ml;0;0;;SANS TABLEAU;Antiscabieux;Shampooing
Pommade anti scabieuse cannone pote/80g;0;891;14/08/2021;SANS TABLEAU;Antiscabieux;Pommades cremes
Pouxit lotion FL/60ml;1;5?273;11/04/2023;SANS TABLEAU;Antiscabieux;Solutions externes lotions
Spiralide cp b/10;1;4?484;19/09/2023;LISTE I;Antiscabieux;Comprimes Gelules
Spregal spray aerosol FL/200ml;0;0;;SANS TABLEAU;Antiscabieux;Spray solutions externes
Stimol sht eff;0;4?937;27/02/2023;SANS TABLEAU;Antiscabieux;Solutions externes lotions
Novogesic sp Fl/60ml;0;1?787;07/08/2023;LISTE I;Antirhusmatimal;Sirops
Avastine cp;0;5?676;17/03/2019;LISTE II;Antireflux Antiacide;Comprimes Gelules
Gentamed;3;797;12/08/2020;LISTE I;Antipsychotique Neuroleptique;Gouttes buvables
Haldol 5mg/5ml inj B/5 amp;2;755;06/06/2023;Liste I;Antipsychotique Neuroleptique;Injectables
Haldol faible0,5mg/mll gtte buv Fl/30ml sans sucre;0;40;05/10/2019;LISTE I;Antipsychotique Neuroleptique;Gouttes buvables
Nozinan 100mg cp B/20;16;3?716;21/09/2023;LISTE I;Antipsychotique Neuroleptique;Comprimes Gelules
Nozinan 25mg cp B/20;8;1?578;21/09/2023;LISTE I;Antipsychotique Neuroleptique;Comprimes Gelules
Nozinan 4% gtte buvable Fl/30ml;0;40;13/06/2018;Liste I;Antipsychotique Neuroleptique;Gouttes buvables
Piportil cp B/20;0;12?080;19/01/2023;Liste I;Antipsychotique Neuroleptique;Comprimes Gelules
Piportil L4e120mg/4mlinj B/1;0;12?082;19/04/2022;Liste I;Antipsychotique Neuroleptique;Injectables
Piportil L4 25mg/1ml inj B/3;4;12?130;21/06/2023;LISTE I;Antipsychotique Neuroleptique;Injectables
Thiapridal 100mg cp B/20;0;40;;Liste I;Antipsychotique;Comprimes Gelules
Anaxeryl pde T/38,5 g;0;0;;SANS TABLEAU;Antipsoriasique;Pommades cremes
Daivonex pdre T/30g;0;40;10/12/2018;Liste I;Antipsoriasique;Pommades cremes
Pommade au dioxyanthranol 1%;0;0;;SANS TABLEAU;Antipsoriasique;Pommades cremes
Benzantine benzylpenicilline 1,2M inj 1 amp;0;40;;Liste I;Antiprurigineux;Injectables
Benzantine H creme T/20g;0;40;;Liste I;Antiprurigineux;Pommades cremes
Cort apaisyl creme ;0;40;;Liste I;Antiprurigineux;Pommades cremes
Cutiphile pdre Fl/125g;0;0;;SANS TABLEAU;Antiprurigineux;Poudres externes
Cutiphile pdre Fl/125g;0;0;;SANS TABLEAU;Antiprurigineux;Poudres externes
Nisapulvol pdre Fl/50g;0;0;;SANS TABLEAU;Antiprurigineux;Poudres externes
Nisaseptol pde T/40g;0;0;;SANS TABLEAU;Antiprurigineux;Pommades cremes
Salvatis lotion FL/125ml;-1;1?413;22/09/2023;SANS TABLEAU;Antiprurigineux;Solutions externes lotions
Cardular 2mg cp B/20;0;40;;Liste I;Antiprostatite;Comprimes Gelules
Cardular P puro cp B/28;0;40;;Liste I;Antiprostatite;Comprimes Gelules
Permixon 160mg cp B/60 sans sucre;0;22?795;30/03/2023;SANS TABLEAU;Antiprostatite;Comprimes Gelules
Tadenan 50mg cp B/30 sans sucre;0;0;;SANS TABLEAU;Antiprostatite;Comprimes Gelules
Artane 2mg cp B/50;0;1?083;26/02/2022;Liste I;Antiparkinsonien Anticholinergique;Comprimes Gelules
Artane 5mg cp B/20;14;1?287;21/09/2023;LISTE I;Antiparkinsonien Anticholinergique;Comprimes Gelules
Modopar 125mg cp B/60;0;40;;LISTE I;Antiparkinsonien;Comprimes Gelules
Trivastal 50mg LP cp B/30;0;8?605;18/09/2023;LISTE II;Antiparkinsonien;Comprimes Gelules
Atrican 250mg cp B/8;0;3?607;25/05/2021;LISTE I;Antiparasitaire Trichomonoacide;Comprimes Gelules
Boncare plus cpr b/30;1;12?139;11/08/2023;SANS TABLEAU;Antiparasitaire Antiprurigineux;Comprimes Gelules
Eurax 10% creme T/60g;0;1?494;23/06/2017;SANS TABLEAU;Antiparasitaire Antiprurigineux;Pommades cremes
Prurex creme derm T/40g;5;1?545;22/09/2023;SANS TABLEAU;Antiparasitaire Antiprurigineux;Pommades cremes
Immard 200 cp B/30;8;4?270;11/09/2023;LISTE II;Antipaludique Douleurs articulaires;Comprimes Gelules
Plaquenil cp B/30;0;30;;Liste II;Antipaludique Douleurs articulaires;Comprimes Gelules
Alaxin 60mg cp B/8;0;40;;Liste I;Antipaludique;Comprimes Gelules
Alaxin sp 160mg/80ml Fl/100ml;0;40;;Liste I;Antipaludique;Sirops
Alaxin-SP cp B/2;0;40;;Liste I;Antipaludique;Comprimes Gelules
Amalar cp B/3;0;40;;LISTE I;Antipaludique;Comprimes Gelules
Amether denk sp FI/60ml;0;40;;Liste I;Antipaludique;Sirops
Amodiaquine QT plaquette ;0;30;;Liste II;Antipaludique;Comprimes Gelules
Amodiaquine sp QT FI/60ml;0;30;;Liste II;Antipaludique;Sirops
Arinate 100mg cp B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Arinate 50mg cp B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Arsiquinoforme 250mg cp B/15;0;40;05/03/2017;Liste I;Antipaludique;Comprimes Gelules
Arsucam cp 0-6ans B/3;0;40;;Liste I;Antipaludique;Comprimes Gelules
Arsucam cp 7-13ans B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Arsucam cp apres 13ans B/12;0;40;;Liste I;Antipaludique;Comprimes Gelules
Arsumax 50mg cp B/12;0;40;;Liste I;Antipaludique;Comprimes Gelules
Artecure Kit B/6+3cp;0;40;;Liste I;Antipaludique;Comprimes Gelules
Artediam B/12cp;0;40;;Liste I;Antipaludique;Comprimes Gelules
Artediam sp Fl/30ml;0;40;;LISTE I;Antipaludique;Sirops
Artefan 20/120 cp B/24;12;982;11/09/2023;Liste I;Antipaludique;Comprimes Gelules
Artefan 40/240 cp B/12;0;1?801;08/08/2023;Liste I;Antipaludique;Comprimes Gelules
Artemax cp B/8;0;40;;Liste I;Antipaludique;Comprimes Gelules
Artenam 100mg amp inj B/7;0;40;;Liste I;Antipaludique;Injectables
Artenam 40mg amp inj B/5;0;40;;Liste I;Antipaludique;Injectables
Artenam 50mg cp B/14;0;40;;Liste I;Antipaludique;Comprimes Gelules
Artequin Adulte cp B/6;0;4?052;17/07/2021;Liste I;Antipaludique;Comprimes Gelules
Artequin Enf cp B/6;0;3?051;06/03/2022;LISTE I;Antipaludique;Comprimes Gelules
Artequin pediatrique sachet B/3;0;40;;Liste I;Antipaludique;Sachets Granules poudres orales
Artesiane 160mg suppo Ad B/6;0;40;;Liste I;Antipaludique;Suppositoires
Artesiane 20mg amp inj B/3;0;40;13/10/2018;LISTE I;Antipaludique;Injectables
Artesiane 40mg suppo  Enf  B/6;0;40;;Liste I;Antipaludique;Suppositoires
Artesiane 80mg amp inj  B/5;0;40;13/11/2022;Liste I;Antipaludique;Injectables
Artesiane sp Fl/100ml;0;40;;Liste I;Antipaludique;Sirops
Artesunate Ubi 50mg plaq/6cp;0;40;;Liste I;Antipaludique;Comprimes Gelules
Arthel plus 80mg/480mg cp b/6;0;2?977;14/06/2020;LISTE I;Antipaludique;Comprimes Gelules
Arthesis 50mg cp B/12;0;40;;Liste I;Antipaludique;Comprimes Gelules
Asunate denk plus 100mg cp;0;40;;Liste I;Antipaludique;Comprimes Gelules
Asunate denk plus cp 200mg B/3+3;0;3?555;24/10/2018;Liste I;Antipaludique;Comprimes Gelules
Camoquin cp 200mg B/24;0;30;;Liste II;Antipaludique;Comprimes Gelules
Camoquin cp 200mg PL/3;0;30;;Liste II;Antipaludique;Comprimes Gelules
Camoquine  cp B/9;0;30;;Liste II;Antipaludique;Comprimes Gelules
Camoquine plus Ad cp B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Camoquine plus Enf cp B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Camoquine plus sp  pediatrique;0;40;;Liste I;Antipaludique;Sirops
Camoquine sp FL/60ml;0;30;;Liste II;Antipaludique;Sirops
Chloroquine cp B/20;0;30;;LISTE II;Antipaludique;Comprimes Gelules
Clip sp Fl/100ml ;0;30;;Liste II;Antipaludique;Sirops
Coar;0;2?109;13/06/2017;SANS TABLEAU;Antipaludique;Comprimes Gelules
Co arinate fdc adtbte 3;11;3?763;19/09/2023;LISTE I;Antipaludique;Comprimes Gelules
Coarsucam cp Ad +14ans;0;40;;Liste I;Antipaludique;Comprimes Gelules
Coarsucam cp E 6 e 13 ans B/3;0;40;;Liste I;Antipaludique;Comprimes Gelules
Coarsucam cp petit Enf 1 e  5ans B/3;0;40;;Liste I;Antipaludique;Comprimes Gelules
Coarsucam nourrisson cp de 2 e 11 mois B/3;0;40;;LISTE I;Antipaludique;Comprimes Gelules
Coartem 20/120mg cp dispersible cp plaq/12;2;40;15/09/2023;LISTE I;Antipaludique;Comprimes Gelules
Coartem 20/120mg cp dispersible cp plaq/6;0;1?050;25/08/2023;LISTE I;Antipaludique;Comprimes Gelules
Coartesiane sp Fl/60ml;0;4?258;07/10/2019;Liste I;Antipaludique;Sirops
Cofantrine sp Fl/60ml;4;2?430;27/08/2023;LISTE I;Antipaludique;Sirops
Combimal cp B/3;10;425;22/09/2023;Liste I;Antipaludique;Comprimes Gelules
